"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Protein Groups"
"False"	"High"	"IsMasterProtein"	"P16521"	"Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4"	"0.000"	"693.018"	"48"	"39"	"565"	"39"	"1044"	"115.9"	"6.05"	"1903.95"	"39"	"1"
"False"	"High"	"IsMasterProtein"	"P10964"	"DNA-directed RNA polymerase I subunit RPA190 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPA190 PE=1 SV=2"	"0.000"	"679.302"	"32"	"48"	"447"	"48"	"1664"	"186.3"	"7.08"	"1649.51"	"48"	"1"
"False"	"High"	"IsMasterProtein"	"Q00955"	"Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACC1 PE=1 SV=2"	"0.000"	"638.380"	"34"	"56"	"439"	"56"	"2233"	"250.2"	"6.28"	"1514.62"	"56"	"1"
"False"	"High"	"IsMasterProteinRejected"	"P0C2I9"	"Transposon Ty1-PR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PR1 PE=3 SV=1"	"0.000"	"608.280"	"35"	"49"	"508"	"0"	"1755"	"198.4"	"8.25"	"1727.56"	"49"	"0"
"False"	"High"	"IsMasterProteinCandidate"	"Q03434"	"Transposon Ty1-ML2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ML2 PE=3 SV=2"	"0.000"	"601.892"	"34"	"50"	"517"	"2"	"1755"	"198.4"	"8.12"	"1700.74"	"50"	"1"
"False"	"High"	"IsMasterProtein"	"Q03612"	"Transposon Ty1-ER1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ER1 PE=3 SV=1"	"0.000"	"601.892"	"34"	"50"	"517"	"2"	"1755"	"198.4"	"8.06"	"1700.74"	"50"	"1"
"False"	"High"	"IsMasterProtein"	"P33302"	"Pleiotropic ABC efflux transporter of multiple drugs OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDR5 PE=1 SV=1"	"0.000"	"586.692"	"30"	"36"	"320"	"32"	"1511"	"170.3"	"7.81"	"1223.24"	"36"	"1"
"False"	"High"	"None"	"Q12414"	"Transposon Ty1-PL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PL PE=3 SV=1"	"0.000"	"585.763"	"32"	"49"	"513"	"2"	"1755"	"198.5"	"8.06"	"1688.09"	"49"	"1"
"False"	"High"	"IsMasterProteinRejected"	"P47098"	"Transposon Ty1-JR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-JR1 PE=3 SV=3"	"0.000"	"583.579"	"33"	"48"	"516"	"0"	"1755"	"198.5"	"8.00"	"1684.85"	"48"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q04711"	"Transposon Ty1-ML1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ML1 PE=3 SV=2"	"0.000"	"575.647"	"35"	"48"	"484"	"0"	"1755"	"198.4"	"8.24"	"1603.44"	"48"	"0"
"False"	"High"	"IsMasterProtein"	"P38631"	"1,3-beta-glucan synthase component FKS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FKS1 PE=1 SV=2"	"0.000"	"574.030"	"26"	"38"	"380"	"23"	"1876"	"214.7"	"7.23"	"1392.53"	"38"	"1"
"False"	"High"	"None"	"Q12273"	"Transposon Ty1-OL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-OL PE=3 SV=1"	"0.000"	"571.951"	"33"	"49"	"488"	"2"	"1755"	"198.5"	"8.12"	"1585.54"	"49"	"1"
"False"	"High"	"None"	"P0C2I5"	"Transposon Ty1-LR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR2 PE=3 SV=1"	"0.000"	"570.120"	"32"	"48"	"503"	"2"	"1755"	"198.4"	"8.06"	"1648.41"	"48"	"1"
"False"	"High"	"IsMasterProteinRejected"	"P47100"	"Transposon Ty1-JR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-JR2 PE=3 SV=3"	"0.000"	"568.801"	"33"	"47"	"507"	"0"	"1755"	"198.5"	"8.32"	"1685.52"	"47"	"0"
"False"	"High"	"None"	"P0C2J0"	"Transposon Ty1-PR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PR2 PE=3 SV=1"	"0.000"	"564.846"	"33"	"47"	"464"	"0"	"1756"	"198.5"	"8.29"	"1556.63"	"47"	"0"
"False"	"High"	"IsMasterProtein"	"P05030"	"Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA1 PE=1 SV=2"	"0.000"	"562.655"	"38"	"33"	"1670"	"15"	"918"	"99.6"	"5.11"	"6076.49"	"33"	"1"
"False"	"High"	"None"	"P0C2I2"	"Transposon Ty1-DR5 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR5 PE=3 SV=1"	"0.000"	"559.518"	"33"	"47"	"480"	"0"	"1755"	"198.4"	"8.19"	"1590.78"	"47"	"0"
"False"	"High"	"None"	"P0C2I3"	"Transposon Ty1-DR6 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR6 PE=3 SV=1"	"0.000"	"559.509"	"31"	"46"	"510"	"0"	"1755"	"198.5"	"8.00"	"1667.07"	"46"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q07793"	"Transposon Ty1-DR4 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR4 PE=3 SV=2"	"0.000"	"551.976"	"34"	"45"	"491"	"0"	"1604"	"181.5"	"7.53"	"1650.79"	"45"	"0"
"False"	"High"	"IsMasterProtein"	"P08518"	"DNA-directed RNA polymerase II subunit RPB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB2 PE=1 SV=2"	"0.000"	"540.739"	"32"	"41"	"296"	"41"	"1224"	"138.7"	"6.52"	"1051.56"	"41"	"1"
"False"	"High"	"IsMasterProtein"	"Q12269"	"Transposon Ty1-GR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-GR2 PE=3 SV=3"	"0.000"	"537.265"	"32"	"47"	"439"	"1"	"1755"	"198.4"	"8.21"	"1421.79"	"47"	"1"
"False"	"High"	"None"	"Q92393"	"Transposon Ty1-OR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-OR PE=3 SV=1"	"0.000"	"534.893"	"32"	"45"	"459"	"0"	"1755"	"198.4"	"8.53"	"1537.22"	"45"	"0"
"False"	"High"	"None"	"Q99231"	"Transposon Ty1-DR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR3 PE=1 SV=2"	"0.000"	"526.114"	"28"	"41"	"485"	"0"	"1755"	"198.7"	"8.41"	"1648.10"	"41"	"0"
